Ad ID,URL
CR107760248420302848,https://tpc.googlesyndication.com/simgad/9576977186537899825
CR133512460010258432,https://tpc.googlesyndication.com/simgad/13176855086859716721
CR168714424285134848,https://tpc.googlesyndication.com/simgad/9789600753268333285
CR236039720277114880,https://tpc.googlesyndication.com/simgad/8493442689887224690
CR252541190786777088,https://tpc.googlesyndication.com/simgad/2303173331349517755
CR284596902538772480,https://tpc.googlesyndication.com/simgad/13176855086859716721
CR289162074817298432,https://tpc.googlesyndication.com/simgad/9789600753268333285
CR297014237107060736,https://tpc.googlesyndication.com/simgad/1668781697228136096
CR348559342217199616,https://tpc.googlesyndication.com/simgad/15977380855016823020
CR360260894715805696,https://tpc.googlesyndication.com/simgad/15977380855016823020
CR369567161133301760,https://tpc.googlesyndication.com/simgad/17593783825598582955
CR377729935457910784,https://tpc.googlesyndication.com/simgad/8493442689887224690
CR407528349838082048,https://tpc.googlesyndication.com/simgad/1668781697228136096
CR43440467462848512,https://tpc.googlesyndication.com/simgad/1382262563401763880
CR436379534950924288,https://tpc.googlesyndication.com/simgad/15977380855016823020
CR438807256625053696,https://tpc.googlesyndication.com/simgad/9576977186537899825
CR442149771973492736,https://tpc.googlesyndication.com/simgad/9789600753268333285
CR464450616563859456,https://tpc.googlesyndication.com/simgad/1668781697228136096
CR470300018423627776,https://tpc.googlesyndication.com/simgad/2303173331349517755
CR474836053644017664,https://tpc.googlesyndication.com/simgad/5179735064537648585
CR47486670253064192,https://tpc.googlesyndication.com/simgad/5179735064537648585
CR479304468899299328,https://tpc.googlesyndication.com/simgad/1382262563401763880
CR494926330106740736,https://tpc.googlesyndication.com/simgad/13176855086859716721
CR506812600558813184,https://tpc.googlesyndication.com/simgad/1382262563401763880
CR516417934139064320,https://tpc.googlesyndication.com/simgad/5179735064537648585
CR534895776799653888,https://tpc.googlesyndication.com/simgad/8493442689887224690
CR550095425542029312,https://tpc.googlesyndication.com/simgad/17593783825598582955
CR564450649354272768,https://tpc.googlesyndication.com/simgad/9576977186537899825
CR120617868676038656,https://tpc.googlesyndication.com/simgad/7471146148356841313
CR130012096023756800,https://tpc.googlesyndication.com/simgad/3270450066809615876
CR131652567372398592,https://tpc.googlesyndication.com/simgad/16392827728053386398
CR133482154721017856,https://tpc.googlesyndication.com/simgad/2780589641096654294
CR146443197789241344,https://tpc.googlesyndication.com/simgad/1365302098118507381
CR146663100114796544,https://tpc.googlesyndication.com/simgad/1365302098118507381
CR173121747925598208,https://tpc.googlesyndication.com/simgad/11499839651112170012
CR17958667013849088,https://tpc.googlesyndication.com/simgad/612766636964407626
CR184437028245471232,https://tpc.googlesyndication.com/simgad/7471146148356841313
CR212167604851179520,https://tpc.googlesyndication.com/simgad/13818861345976971690
CR212893763561848832,https://tpc.googlesyndication.com/simgad/3823690472338949796
CR22110422920331264,https://tpc.googlesyndication.com/simgad/9146245878713020234
CR22405573072912384,https://tpc.googlesyndication.com/simgad/6092972908194950300
CR225432113128669184,https://tpc.googlesyndication.com/simgad/7471146148356841313
CR245403642335592448,https://tpc.googlesyndication.com/simgad/1365302098118507381
CR250865122749186048,https://tpc.googlesyndication.com/simgad/10013457611968899273
CR252374546055692288,https://tpc.googlesyndication.com/simgad/16392827728053386398
CR256429544938930176,https://tpc.googlesyndication.com/simgad/4576083210006270387
CR262433359462924288,https://tpc.googlesyndication.com/simgad/13213855129279670993
CR262683567077720064,https://tpc.googlesyndication.com/simgad/4576083210006270387
CR262973838147452928,https://tpc.googlesyndication.com/simgad/2780589641096654294
CR278314224378183680,https://tpc.googlesyndication.com/simgad/1365302098118507381
CR305744840467939328,https://tpc.googlesyndication.com/simgad/4576083210006270387
CR306034218184474624,https://tpc.googlesyndication.com/simgad/17551359132762138054
CR315926318141145088,https://tpc.googlesyndication.com/simgad/4541637362745176070
CR323402997210021888,https://tpc.googlesyndication.com/simgad/16392827728053386398
CR332344225767096320,https://tpc.googlesyndication.com/simgad/17480136783144516590
CR335488829022535680,https://tpc.googlesyndication.com/simgad/1365302098118507381
CR338853334603530240,https://tpc.googlesyndication.com/simgad/16392827728053386398
CR344557600928432128,https://tpc.googlesyndication.com/simgad/1365302098118507381
CR351568087067131904,https://tpc.googlesyndication.com/simgad/3270450066809615876
CR362633572089069568,https://tpc.googlesyndication.com/simgad/9146245878713020234
CR372555565018120192,https://tpc.googlesyndication.com/simgad/1365302098118507381
CR376091594413047808,https://tpc.googlesyndication.com/simgad/2780589641096654294
CR378009142691889152,https://tpc.googlesyndication.com/simgad/16392827728053386398
CR386558945109475328,https://tpc.googlesyndication.com/simgad/11499839651112170012
CR388534149029298176,https://tpc.googlesyndication.com/simgad/6903853028185394665
CR401362769665851392,https://tpc.googlesyndication.com/simgad/17551359132762138054
CR405699243525799936,https://tpc.googlesyndication.com/simgad/2780589641096654294
CR42315048592343040,https://tpc.googlesyndication.com/simgad/4576083210006270387
CR461563230309842944,https://tpc.googlesyndication.com/simgad/7658922697236725149
CR46609259974098944,https://tpc.googlesyndication.com/simgad/13426302795361445771
CR470689176820383744,https://tpc.googlesyndication.com/simgad/7471146148356841313
CR474994864354754560,https://tpc.googlesyndication.com/simgad/2780589641096654294
CR477387401656795136,https://tpc.googlesyndication.com/simgad/16392827728053386398
CR504255067793129472,https://tpc.googlesyndication.com/simgad/4576083210006270387
CR506444401602461696,https://tpc.googlesyndication.com/simgad/4576083210006270387
CR508754269373988864,https://tpc.googlesyndication.com/simgad/7471146148356841313
CR512958801838604288,https://tpc.googlesyndication.com/simgad/16392827728053386398
CR515043475884867584,https://tpc.googlesyndication.com/simgad/10013457611968899273
CR515265096197341184,https://tpc.googlesyndication.com/simgad/5171965062015445966
CR518821397837905920,https://tpc.googlesyndication.com/simgad/7471146148356841313
CR53028689893392384,https://tpc.googlesyndication.com/simgad/4541637362745176070
CR532086387151732736,https://tpc.googlesyndication.com/simgad/5793621669098882547
CR54035842544435200,https://tpc.googlesyndication.com/simgad/4576083210006270387
CR55192528776855552,https://tpc.googlesyndication.com/simgad/8951084303912839387
CR556868142291222528,https://tpc.googlesyndication.com/simgad/16392827728053386398
CR56084438865412096,https://tpc.googlesyndication.com/simgad/8951084303912839387
CR570617191599177728,https://tpc.googlesyndication.com/simgad/2780589641096654294
CR61859967287689216,https://tpc.googlesyndication.com/simgad/7471146148356841313
CR62669207845732352,https://tpc.googlesyndication.com/simgad/612766636964407626
CR76061259472044032,https://tpc.googlesyndication.com/simgad/1365302098118507381
CR78537359657795584,https://tpc.googlesyndication.com/simgad/2780589641096654294
CR81198177797013504,https://tpc.googlesyndication.com/simgad/2780589641096654294
CR85719438329905152,https://tpc.googlesyndication.com/simgad/7471146148356841313
CR93323592028127232,https://tpc.googlesyndication.com/simgad/4576083210006270387
CR100794155063574528,https://tpc.googlesyndication.com/simgad/7842257709328518764
CR104820085608153088,https://tpc.googlesyndication.com/simgad/4684409672864920686
CR105447150833369088,https://tpc.googlesyndication.com/simgad/5155410738474945542
CR105957736545517568,https://tpc.googlesyndication.com/simgad/11512206230371436503
CR109335436266045440,https://tpc.googlesyndication.com/simgad/9628976257367719069
CR112404997852889088,https://tpc.googlesyndication.com/simgad/3001454908290042114
CR114366801474748416,https://tpc.googlesyndication.com/simgad/3470390006353797851
CR114964935800258560,https://tpc.googlesyndication.com/simgad/13445135482128790107
CR115941027247816704,https://tpc.googlesyndication.com/simgad/11232819913628272803
CR117216735613943808,https://tpc.googlesyndication.com/simgad/4222722556570161139
CR119468535427629056,https://tpc.googlesyndication.com/simgad/17713011705009266681
CR121743768582881280,https://tpc.googlesyndication.com/simgad/797045993980541253
CR123972135054999552,https://tpc.googlesyndication.com/simgad/17713011705009266681
CR124696163461890048,https://tpc.googlesyndication.com/simgad/2744275381347190358
CR127103544170905600,https://tpc.googlesyndication.com/simgad/3882492785625506552
CR127393540362731520,https://tpc.googlesyndication.com/simgad/6578187989842528870
CR128739205156175872,https://tpc.googlesyndication.com/simgad/11232819913628272803
CR136673693379067904,https://tpc.googlesyndication.com/simgad/4015087614287143367
CR141106924262260736,https://tpc.googlesyndication.com/simgad/13192106485446283650
CR144962361785057280,https://tpc.googlesyndication.com/simgad/6952914764927546128
CR146117742347419648,https://tpc.googlesyndication.com/simgad/14619817458541711816
CR153090226615484416,https://tpc.googlesyndication.com/simgad/15349692463823494278
CR158364446454972416,https://tpc.googlesyndication.com/simgad/12661966287062561155
CR15850559626018816,https://tpc.googlesyndication.com/simgad/3605728719349916052
CR160000932073963520,https://tpc.googlesyndication.com/simgad/7387393618914809452
CR163695291143290880,https://tpc.googlesyndication.com/simgad/7036613641396280593
CR165049477151850496,https://tpc.googlesyndication.com/simgad/7842257709328518764
CR165073322810277888,https://tpc.googlesyndication.com/simgad/16612918488565840667
CR168559255706664960,https://tpc.googlesyndication.com/simgad/5155410738474945542
